id,client_id,domain,city,region,browser,device_category,date,pageviews,campaign,keyword,medium,source,avg_session_duration,bounce_rate,sessions,goal_completion_location,goal_completions,goal_conversion_rate,goal_value,conversion,source_conv,ad_cost,sale,model_ga_name,model_ga_id
7,GA1.2.1029165320.1581675414,cars.BMW-keyauto-krd.ru,Zurich,Zurich,Chrome,mobile,2020-02-14,6,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0009259259259259967,0.0,2,/,1,0.5,17971,1,BMW-keyauto-krd.ru,1244,0,,
6,GA1.2.1029165320.1581675414,BMW-keyauto-krd.ru,Zurich,Zurich,Chrome,mobile,2020-02-14,18,(not set),(not set),referral,cars.BMW-keyauto-krd.ru,0.002291666666666581,0.0,1,/offers/buy/?trade_source=footer,1,1.0,38039,1,cars.BMW-keyauto-krd.ru,1470,0,,
8,GA1.2.1029165320.1581675414,BMW-keyauto-krd.ru,Zurich,Zurich,Chrome,mobile,2020-02-14,18,(not set),(not set),referral,cars.BMW-keyauto-krd.ru,0.002291666666666581,0.0,1,/,1,1.0,21442,1,cars.BMW-keyauto-krd.ru,590,0,,
9,GA1.2.1029165320.1581675414,BMW-keyauto-krd.ru,Zurich,Zurich,Chrome,mobile,2020-02-14,18,(not set),(not provided),organic,google,0.0,0.0,1,/offers/buy/?trade_source=footer,1,1.0,15678,1,google,0,0,,
10,GA1.2.1029165320.1581675414,BMW-keyauto-krd.ru,Zurich,Zurich,Chrome,mobile,2020-02-14,18,(not set),(not provided),organic,google,0.0,0.0,1,/,0,0.0,0,0,google,0,0,,
5,GA1.2.1235381720.1579517675,Mersedes-krasnodar.ru,Zurich,Zurich,Chrome,desktop,2020-01-30,2,36451504,купить киа рио в краснодаре,cpc,yandex,0.0,0.0,1,/special/purchase/e220/?calltouch_tm=yd_c:36451504_gb:3435678787_ad:6081156757_ph:15338217500_st:search_pt:premium_p:3_s:none_dt:desktop_reg:239_ret:_apt:none&yclid=232491394965732012,0,0.0,0,0,YANDEX,570,0,e220,7.0
1,GA1.2.360702973.1573932024,BMW-keyauto-krd.ru,Zurich,Zurich,YaBrowser,mobile,2020-01-28,2,(not set),(not set),referral,yandex.ru,0.0,0.0,1,/models/NewElantra/,0,0.0,0,0,yandex.ru,108,0,,
3,GA1.2.1394084210.1579796276,Mersedes-krasnodar.ru,Zurich,Zurich,Chrome,mobile,2020-01-27,2,(not set),(not provided),organic,google,0.0005671296296296813,0.0,2,/models/cla/options/,1,0.5,8498,1,google,0,0,cla,10.0
2,GA1.2.1394084210.1579796276,Mersedes-krasnodar.ru,Zurich,Zurich,Chrome,mobile,2020-01-23,26,(not set),(not provided),organic,google,0.017141203703703756,0.0,1,/,0,0.0,0,0,google,0,0,,
4,GA1.2.1235381720.1579517675,Mersedes-krasnodar.ru,Zurich,Zurich,Chrome,desktop,2020-01-20,8,36451504,купить киа рио в краснодаре,cpc,yandex,0.0017013888888888218,0.0,1,/special/purchase/e220/?calltouch_tm=yd_c:36451504_gb:3435678787_ad:6081156757_ph:15338217500_st:search_pt:premium_p:4_s:none_dt:desktop_reg:239_ret:_apt:none&yclid=10295001094068338,0,0.0,0,0,YANDEX,439,0,e220,7.0
43,GA1.2.1313175792.1581838527,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-02-16,6,(not set),(not provided),organic,google,0.0026273148148148184,0.0,1,/,0,0.0,0,0,google,0,0,,
31,GA1.2.1800343555.1581771460,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,YaBrowser,desktop,2020-02-15,4,(not set),(not set),referral,yandex.ru,0.00012731481481487172,0.0,1,/,0,0.0,0,0,yandex.ru,59,0,,
19,GA1.2.304954032.1581398673,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,desktop,2020-02-11,2,(not set),(not provided),organic,google,0.0,0.0,1,(entrance),0,0.0,0,0,google,0,0,,
30,GA1.2.1816828067.1581339408,Mersedes-krasnodar.ru,Znamenskiy,Krasnodar Krai,Chrome,desktop,2020-02-11,12,(not set),(not provided),organic,google,0.014224537037037075,0.0,1,/,0,0.0,0,0,google,0,0,,
34,GA1.2.1579004785.1581451319,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-02-11,4,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0003240740740739767,0.0,2,/,1,0.5,13783,1,BMW-keyauto-krd.ru,774,0,,
35,GA1.2.1579004785.1581451319,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-02-11,4,(not set),(not set),referral,BMW-keyauto-krd.ru,0.0003240740740739767,0.0,2,(entrance),0,0.0,0,0,BMW-keyauto-krd.ru,197,0,,
36,GA1.2.1579004785.1581451319,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Safari,mobile,2020-02-11,4,(not set),(not provided),organic,google,0.0,0.0,2,/,0,0.0,0,0,google,0,0,,
40,GA1.2.1348051018.1581448980,cars.BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-02-11,2,(not set),(not set),referral,BMW-keyauto-krd.ru,0.001273148148148051,0.0,1,/,0,0.0,0,0,BMW-keyauto-krd.ru,192,0,,
41,GA1.2.1348051018.1581448980,BMW-keyauto-krd.ru,Znamenskiy,Krasnodar Krai,Chrome,mobile,2020-02-11,2,(not set),(not provided),organic,google,0.0,0.0,1,/,0,0.0,0,0,google,0,0,,
