id,model_name,price_original,margin_pct,brand_id,class_id,currency_id,sale_chance,cum_sale_chance
1,GT_AMG,174324.324324324,0.34,1,5,2,0.01,0.01
2,gls,113513.513513514,0.33,1,4,2,0.02,0.03
11,x5,72222.2222222222,0.27,2,4,3,0.05,0.05
3,GLE,7200000.0,0.29,1,4,4,0.03,0.06
4,e400,5900000.0,0.28,1,3,4,0.05,0.11
12,530d,5300000.0,0.26,2,3,4,0.1,0.15000000000000002
5,cls,4650000.0,0.31,1,3,4,0.07,0.18
13,i3,51666.6666666667,0.35,2,3,3,0.1,0.25
6,glc,3950000.0,0.32,1,2,4,0.09,0.27
7,e220,3850000.0,0.21,1,2,4,0.15,0.42000000000000004
14,x3,3350000.0,0.23,2,2,4,0.18,0.43
8,c200,2750000.0,0.24,1,2,4,0.14,0.56
15,x1,2200000.0,0.22,2,1,4,0.27,0.7
9,c180,2300000.0,0.2,1,1,4,0.24,0.8
10,cla,2050000.0,0.3,1,1,4,0.2,1.0
16,318,2100000.0,0.25,2,1,4,0.3,1.0
