id,client_id,sale_date,sale_city,model_id
1,GA1.2.1169448376.1577861283,2020-01-19,Znamenskiy,9
2,GA1.2.1952782429.1579771817,2020-01-23,Zhukovskiy,10
3,GA1.2.173293662.1579367819,2020-01-18,Zhukovskiy,10
4,GA1.2.446385409.1581259601,2020-02-14,Yuzhnyy,11
5,GA1.2.366579822.1581229543,2020-02-09,Yuzhnyy,15
6,GA1.2.2144037852.1579586524,2020-01-21,Yuzhnyy,10
7,GA1.2.2094032048.1581092366,2020-02-07,Yuzhnyy,8
8,GA1.2.1658804242.1578241828,2020-01-09,Yuzhnyy,4
9,GA1.2.1113934300.1578765683,2020-01-13,Yuzhnyy,12
10,GA1.2.1091651756.1579160304,2020-01-16,Yuzhno-Sakhalinsk,11
11,GA1.2.412366619.1580383669,2020-01-30,Yeysk,10
12,GA1.2.2136740005.1578579873,2020-01-09,Yeysk,7
13,GA1.2.2136740005.1578579873,2020-01-09,Yeysk,10
14,GA1.2.1913530128.1580490511,2020-02-02,Yeysk,7
15,GA1.2.1913530128.1580490511,2020-02-10,Yeysk,15
16,GA1.2.1860648392.1578479271,2020-01-08,Yeysk,10
17,GA1.2.1350473982.1581593293,2020-02-13,Yeysk,15
18,GA1.2.1249393710.1545136444,2020-01-30,Yeysk,8
19,GA1.2.1078052359.1578507910,2020-01-08,Yeysk,8
20,GA1.2.576790119.1581841107,2020-02-16,Yevpatoriya,7
21,GA1.2.204154407.1581750382,2020-02-15,Yevpatoriya,9
22,GA1.2.1709950122.1579449426,2020-01-19,Yevpatoriya,10
23,GA1.2.1122524344.1580153594,2020-01-27,Yevpatoriya,15
24,GA1.2.110268335.1578376334,2020-02-04,Yevpatoriya,10
25,GA1.2.110268335.1578376334,2020-02-09,Yevpatoriya,9
26,GA1.2.61947429.1581411878,2020-02-11,Yerevan,7
27,GA1.2.1391343800.1571933006,2020-01-14,Yerevan,10
28,GA1.2.1165315346.1577536757,2020-01-18,Yerevan,9
29,GA1.2.101148702.1579154481,2020-01-16,Yerevan,5
30,GA1.2.971318749.1578911473,2020-01-13,Yekaterinburg,8
31,GA1.2.763523508.1581149779,2020-02-08,Yekaterinburg,15
32,GA1.2.745066134.1581083413,2020-02-07,Yekaterinburg,7
33,GA1.2.699735643.1580826289,2020-02-04,Yekaterinburg,15
34,GA1.2.461939777.1580714366,2020-02-03,Yekaterinburg,9
35,GA1.2.436933079.1577878604,2020-01-05,Yekaterinburg,8
36,GA1.2.32077419.1571387977,2020-02-15,Yekaterinburg,15
37,GA1.2.241099594.1578248459,2020-01-25,Yekaterinburg,15
38,GA1.2.1941563643.1578509887,2020-01-08,Yekaterinburg,15
39,GA1.2.163976706.1575708129,2020-01-05,Yekaterinburg,15
40,GA1.2.1598112864.1581929714,2020-02-17,Yekaterinburg,13
41,GA1.2.1176148073.1579156587,2020-01-16,Yekaterinburg,15
42,GA1.2.1113392091.1580798971,2020-02-04,Yekaterinburg,10
43,GA1.2.101443248.1581320692,2020-02-10,Yekaterinburg,10
44,GA1.2.993370355.1579292636,2020-01-19,Yalta,15
45,GA1.2.882229352.1578223010,2020-01-05,Yalta,12
46,GA1.2.853031765.1581189737,2020-02-08,Yalta,6
47,GA1.2.52275970.1578915372,2020-01-13,Yalta,7
48,GA1.2.2110094072.1578953385,2020-01-14,Yalta,4
49,GA1.2.68727757.1579061914,2020-01-15,Yakutsk,8
50,GA1.2.68727757.1579061914,2020-01-15,Yakutsk,7
51,GA1.2.444059308.1571033505,2020-02-10,Yakutsk,9
52,GA1.2.1180276608.1579430988,2020-01-19,Yakutsk,7
53,GA1.2.844068958.1580747286,2020-02-03,Yablonovsky,7
54,GA1.2.734655936.1566825213,2020-02-11,Yablonovsky,13
55,GA1.2.668413009.1564491368,2020-02-14,Yablonovsky,8
56,GA1.2.261852364.1579980259,2020-01-25,Yablonovsky,10
57,GA1.2.1948503307.1578736400,2020-01-11,Yablonovsky,8
58,GA1.2.166590656.1580318725,2020-01-29,Yablonovsky,15
59,GA1.2.1335987663.1580030381,2020-01-26,Yablonovsky,10
